date,open,high,low,close,volume
2021-01-04,1785.77,1790.78,1769.6,1782.79,43514
2021-01-05,1775.79,1845.24,1768.25,1845.24,52116
2021-01-06,1850.59,1910.79,1821.82,1885.79,47410
2021-01-07,1882.79,1925.79,1860.79,1925.79,37931
2021-01-08,1927.79,1936.67,1848.81,1875.79,53862
2021-01-11,1875.79,1936.29,1844.39,1885.52,51080
2021-01-12,1873.79,1946.69,1870.79,1946.69,41059
2021-01-13,1949.79,1959.12,1920.79,1949.79,34390
2021-01-14,1941.79,1948.79,1901.9,1919.79,36152
2021-01-15,1900.79,1920.14,1814.79,1867.79,59509
2021-01-18,1846.85,1877.27,1826.06,1848.79,39144
2021-01-19,1858.9,1882.09,1792.64,1795.2,46345
2021-01-20,1793.79,1841.28,1768.29,1826.42,45082
2021-01-21,1833.79,1875.81,1826.79,1855.79,38310
2021-01-22,1854.79,1885.79,1845.89,1865.74,29248
2021-01-25,1868.79,1965.29,1868.79,1960.79,55957
2021-01-26,1970.79,1972.79,1910.9,1927.68,31747
2021-01-27,1927.68,1927.68,1870.79,1874.79,37120
2021-01-28,1865.79,1895.45,1845.81,1873.79,35129
2021-01-29,1886.98,1935.27,1876.01,1901.97,33701
2021-02-01,1915.79,1945.79,1880.79,1895.11,29341
2021-02-02,1898.01,1935.78,1887.89,1930.79,34582
2021-02-03,1935.79,1984.06,1925.79,1975.7,38714
2021-02-04,1976.79,2115.79,1976.79,2106.64,63851
2021-02-05,2110.79,2150.39,2076.79,2098.79,39729
2021-02-08,2122.79,2164.67,2098.79,2154.59,35786
2021-02-09,2154.59,2242.22,2135.79,2242.22,33297
2021-02-10,2270.79,2386.99,2270.79,2386.79,61371
2021-02-18,2373.77,2413.67,2250.79,2256.79,65912
2021-02-19,2236.95,2282.45,2167.39,2245.79,59385
2021-02-22,2240.79,2240.79,2064.01,2073.81,78935
2021-02-23,2050.93,2130.68,2050.79,2092.79,57455
2021-02-24,2093.78,2103.79,1946.29,1974.79,82116
2021-02-25,1994.79,2010.29,1907.0,1935.79,59726
2021-02-26,1885.79,1965.74,1853.09,1908.57,66525
2021-03-01,1964.79,1964.79,1905.79,1943.79,44916
2021-03-02,1965.79,1965.79,1818.79,1843.79,70765
2021-03-03,1825.79,1935.56,1818.79,1925.79,54215
2021-03-04,1880.79,1881.79,1795.89,1818.79,65088
2021-03-05,1785.79,1880.79,1773.79,1845.9,63779
2021-03-08,1860.75,1870.79,1745.79,1745.79,63100
2021-03-09,1740.79,1785.79,1685.97,1722.78,82266
2021-03-10,1762.79,1785.66,1752.79,1755.8,51172
2021-03-11,1760.79,1865.78,1747.27,1833.79,56769
2021-03-12,1855.79,1862.79,1787.8,1811.79,40323
